Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540,0,0,162,2.5,1040,676,28,7.998.611.076
540,0,0,162,2.5,1055,676,28,61.887.365.759.999.900
332.5,142.5,0,228,0,932,594,270,40.269.535.256.000.000
332.5,142.5,0,228,0,932,594,365,41.052.779.992
198.6,132.4,0,192,0,978.4,825.5,360,44.296.075.096
266,114,0,228,0,932,670,90,47.029.847.436.000.000
380,95,0,,0,932,594,365,43.698.299.404
380,95,0,228,0,932,594,,36.447.769.788
266,114,0,228,0,932,670,28,45.854.290.856
475,0,0,228,0,932,594,28,3.928.978.986
198.6,132.4,0,192,,978.4,825.5,90,38.074.243.671.999.900
198.6,132.4,0,192,,978.4,825.5,28,28.021.683.592
427.5,47.5,0,228,0,932,594,270,4.301.296.026
190,190,0,228,,932,670,90,4.232.693.164
304,76,0,228,0,932,670,28,47.813.781.648
380,0,0,228,0,932,670,,52.908.319.811.999.900
139.6,209.4,0,192,,1047,806.9,90,39.358.047.983.999.900
342,38,0,228,0,932,670,365,56.141.962.252
380,95,0,228,,932,594,90,40.563.252.031.999.900
475,0,0,228,0,932,594,180,42.620.648.416
427.5,47.5,0,228,0,932,594,180,41.836.714.203.999.900
139.6,209.4,0,192,0,1047,806.9,28,2.823.748.958
139.6,209.4,0,192,0,1047,806.9,3,806.342.182
139.6,209.4,0,192,0,1047,806.9,180,44.207.822.168
380,0,0,228,0,932,670,365,52.516.697.443.999.900
380,0,0,228,,932,670,,53.300.631.656
380,95,0,228,0,932,594,270,4.115.137.506
342,38,0,228,0,932,670,180,521.243.856
427.5,47.5,0,228,0,932,594,28,37.427.515.183.999.900
475,0,0,228,0,932,594,7,3.860.376.124
304,76,0,228,,932,670,365,55.260.122.448
266,114,0,228,0,932,670,,52.908.319.811.999.900
198.6,132.4,0,192,0,978.4,825.5,180,41.719.503.284
475,0,0,228,0,932,594,270,42.131.120.456
190,190,0,228,0,932,670,,5.369.225.402.399.990
237.5,237.5,0,228,0,932,594,270,38.407.950.056.000.000
237.5,237.5,0,228,0,932,594,28,30.079.769.451.999.900
332.5,142.5,0,228,0,932,594,90,37.721.921.436
475,0,0,228,,932,594,90,42.229.026.048
237.5,237.5,0,228,0,932,594,,36.251.958.603.999.900
342,38,0,228,0,932,670,90,5.045.930.106
427.5,47.5,0,228,0,932,594,365,43.698.299.404
237.5,237.5,0,228,0,932,594,365,38.995.383.608
380,0,0,228,0,932,670,180,53.104.130.996
427.5,47.5,0,228,0,932,594,90,41.542.997.428
427.5,47.5,0,228,0,932,594,7,35.076.402.024
349,0,0,192,,1047,806.9,3,15.049.192.651.999.900
380,95,0,228,0,932,594,180,40.759.063.216
